linha,cod_protheus,descricao,status,http_status,mensagem,created_id
122,MED004,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO 2º ROLO DE DOBRA E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,dd9487409f074917a679c5c7a
123,MED005,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO CONTRAPESO E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,5d436ad6285d49669abff501d
124,MED006,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO ROLO DE RETORNO E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,c44d4d70a0374d28a1e525cd6
125,MED007,MEDIR FOLGA DOS ROLAMENTOS DO MANCAL DO ROLO DE TRAÇÃO E VERIFICAR CONDIÇÕES / FIXAÇÃO,CREATED,201,,621f02f9e6de4590acf70351a
126,MED008,MEDIR FOLGA DOS ROLAMENTOS E VERIFICAR CONDICOES DA BUCHA DE FIXACAO,CREATED,201,,abdb3c95d24e432fadd8342f4
127,MED009,MEDIR FOLGA ENTRE A ARANHA E A PORCA DO REVESTIMENTO MÓVEL  (NÃO PODE SER MENOR QUE 20 MM),CREATED,201,,63b746cfebfe4e20b778108ae
128,MED010,MEDIR TEMPERATURA DO EQUIPAMENTO,CREATED,201,,7e7f45bea99c4650ae7886cdc
129,MED011,MEDIR TENSIONAMENTO DAS MOLAS DO TIRANTES (RECOMENDADO DE 410MM).,CREATED,201,,218bdbdd428546d9a030f7859
130,MON001,MONTAGEM DA BANDAGEM DE BORRACHA,CREATED,201,,218b0460507e478d90bec2efe
131,MON002,MONTAGEM DA BICA DO TC16,CREATED,201,,3943982013e549298e5cf5523
132,MON003,MONTAGEM DA PÊRA (LIGAR A BOMBA LUBRIFCAÇÃO),CREATED,201,,12fb4e11399a4741a89da167f
133,MON004,MONTAGEM DO BOJO,CREATED,201,,12d050c078d441c79893c6bd8
134,OBS001,OBSERVAR CORRENTE ELÉTRICA DOS MOTORES E BALANCEAMENTO ENTRE ELES.,CREATED,201,,3af63ba35db14232a89d35351
135,OBS002,OBSERVAR ESTADO DE CONSERVACAO DA PLATAFORMA,CREATED,201,,35047f7b06ef4d6a97376e91b
136,OBS003,OBSERVAR FOLGAS ANORMAIS,CREATED,201,,bb811aa6c99241eaa74179942
